job_id,cell,speaker,pool,reference_wav,transcript,transcript_source,script_class,language,tool,output_path,seed
1,adaptation_hi,126393,adaptation,refs/126393.wav,libreoffice base par is spoken tutorial men aapkaa svaagat hai,libreoffice base पर इस spoken tutorial में आपका स्वागत है,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00001.wav,7001
2,adaptation_hi,201350,adaptation,refs/201350.wav,baaen panel men tables icon par click karte hain,बाएं panel में tables icon पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00002.wav,7002
3,adaptation_hi,342352,adaptation,refs/342352.wav,daayen panel par ham table banaane ke teen tareeke dekh sakte hain,दायें panel पर हम table बनाने के तीन तरीके देख सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00003.wav,7003
4,adaptation_hi,350956,adaptation,refs/350956.wav,ham abhee create view vikalp ke saath jaaenge,हम अभी create view विकल्प के साथ जाएँगे,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00004.wav,7004
5,adaptation_hi,433148,adaptation,refs/433148.wav,isse pahle views ke baare men seekhte hain view kyaa hai,इससे पहले views के बारे में सीखते हैं view क्या है,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00005.wav,7005
6,adaptation_hi,491095,adaptation,refs/491095.wav,view table ke samaan hai kintu yah data naheen rakhtaa hai,view table के समान है किन्तु यह data नहीं रखता है,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00006.wav,7006
7,adaptation_hi,702146,adaptation,refs/702146.wav,yah query abhivyakti kee tarah paribhaashit kiyaa gayaa hai joki keval tables yaa database ke any views se data praapt kartaa hai,यह query अभिव्यक्ति की तरह परिभाषित किया गया है जोकि केवल tables या database के अन्य views से data प्राप्त करता है,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00007.wav,7007
8,adaptation_hi,707034,adaptation,refs/707034.wav,at: jab dekhte hain ismen table kee tarah data kee columns aur rows hotee hain,अत: जब देखते हैं इसमें table की तरह data की columns और rows होती हैं,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00008.wav,7008
9,adaptation_hi,804882,adaptation,refs/804882.wav,seemit pahunch kee anumti dene ke lie views kaa istemaal kar sakte hain,सीमित पहुँच की अनुमति देने के लिए views का इस्तेमाल कर सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_804882_00009.wav,7009
10,adaptation_hi,901681,adaptation,refs/901681.wav,yaa antanirhit table columns aur table data kee sanrachnaa aur naamon ko chhipaa saktaa hai,या अंतनिर्हित table columns और table data की संरचना और नामों को छिपा सकता है,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00010.wav,7010
11,adaptation_hi,126393,adaptation,refs/126393.wav,udaaharnasvarup ham ek saral vyoo banaa sakte hain jo library ke sabhee sadasyon ko soocheebaddh karegaa,उदाहरणस्वरुप हम एक सरल व्यू बना सकते हैं जो library के सभी सदस्यों को सूचीबद्ध करेगा,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_126393_00011.wav,7011
12,adaptation_hi,201350,adaptation,refs/201350.wav,aur gopneeytaa rakhne ke lie ham unke phone numbers chhor sakte hain,और गोपनीयता रखने के लिए हम उनके phone numbers छोड़ सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00012.wav,7012
13,adaptation_hi,342352,adaptation,refs/342352.wav,library database ke any upyogkartaaon ko view men pravesh kee anumti de sakte hain kintu members table men naheen,library database के अन्य उपयोगकर्ताओं को view में प्रवेश की अनुमति दे सकते हैं किन्तु members table में नहीं,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00013.wav,7013
14,adaptation_hi,350956,adaptation,refs/350956.wav,is tarah se names keval sadasyon ke names dekh sakte hain aur unke phone numbers naheen,इस तरह से names केवल सदस्यों के names देख सकते हैं और उनके phone numbers नहीं,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00014.wav,7014
15,adaptation_hi,433148,adaptation,refs/433148.wav,theek hai mukhy base window par vaapas chalte hain aur is view ko banaate hain,ठीक है मुख्य base window पर वापस चलते हैं और इस view को बनाते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00015.wav,7015
16,adaptation_hi,491095,adaptation,refs/491095.wav,daayen panel par create view par click karte hain,दायें panel पर create view पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00016.wav,7016
17,adaptation_hi,702146,adaptation,refs/702146.wav,ham view design naamak ek naee window dekhte hain aur ek popap window jo kahtaa hai add tables,हम view design नामक एक नई window देखते हैं और एक पॉपअप window जो कहता है add tables,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00017.wav,7017
18,adaptation_hi,707034,adaptation,refs/707034.wav,aur name memberid aur name fields par double click karenge,और name memberid और name fields पर double click करेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00018.wav,7018
19,adaptation_hi,804882,adaptation,refs/804882.wav,id field ko jornaa hameshaa laabhdaayak hai,id field को जोड़ना हमेशा लाभदायक है,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00019.wav,7019
20,adaptation_hi,901681,adaptation,refs/901681.wav,kyonki yah hamen is view ko kisee aur sambandhit table se jorne men madad kartaa hai udaaharnasvarup booksissued table,क्योंकि यह हमें इस view को किसी और सम्बन्धित table से जोड़ने में मदद करता है उदाहरणस्वरुप booksissued table,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00020.wav,7020
