filepath,label,language,speaker,source,tool,condition,utt_id,split
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0000.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0000,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0001.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0001,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0002.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0002,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0003.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0003,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0004.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0004,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0005.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0005,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0006.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0006,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0007.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0007,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0008.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0008,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0009.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0009,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0010.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0010,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0011.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0011,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0012.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0012,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0013.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0013,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0014.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0014,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0015.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0015,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0016.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0016,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0017.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0017,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0018.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0018,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0019.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0019,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0020.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0020,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0021.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0021,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0022.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0022,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0023.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0023,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0024.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0024,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0025.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0025,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0026.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0026,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0027.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0027,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0028.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0028,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0029.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0029,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0030.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0030,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0031.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0031,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0032.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0032,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0033.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0033,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0034.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0034,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0035.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0035,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0036.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0036,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0037.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0037,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0038.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0038,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0039.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0039,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0040.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0040,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0041.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0041,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0042.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0042,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0043.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0043,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0044.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0044,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0045.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0045,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0046.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0046,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0047.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0047,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0048.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0048,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0049.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0049,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0050.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0050,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0051.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0051,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0052.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0052,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0053.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0053,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0054.wav,bonafide,hi-en,126393,mucs2021,none,channel_g711_20db,126393_rSn8GnGA2xpKk7qD_0054,train
