filepath,label,language,speaker,source,tool,condition,utt_id,start_seconds,end_seconds,split
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0000,0.0,4.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0001,4.0,7.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0002,7.0,9.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0003,9.0,11.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0004,11.0,13.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0005,13.0,16.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0006,16.0,21.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0007,21.0,26.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0008,26.0,30.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0009,30.0,36.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0010,36.0,43.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0011,43.0,54.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0012,54.0,60.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0013,60.0,66.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0014,66.0,73.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0015,73.0,81.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0016,81.0,87.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0017,87.0,92.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0018,92.0,100.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0019,100.0,106.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0020,106.0,113.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0021,113.0,118.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0022,118.0,126.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0023,126.0,129.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0024,129.0,132.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0025,132.0,136.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0026,136.0,141.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0027,141.0,145.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0028,145.0,154.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0029,154.0,160.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0030,160.0,165.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0031,165.0,174.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0032,174.0,178.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0033,178.0,181.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0034,181.0,190.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0035,190.0,194.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0036,194.0,202.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0037,202.0,207.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0038,207.0,216.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0039,216.0,220.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0040,220.0,223.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0041,223.0,228.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0042,228.0,233.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0043,233.0,241.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0044,241.0,252.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0045,252.0,260.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0046,260.0,265.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0047,265.0,273.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0048,273.0,279.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0049,279.0,284.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0050,284.0,291.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0051,291.0,300.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0052,300.0,308.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0053,308.0,314.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0054,314.0,316.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0055,316.0,319.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0056,319.0,323.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0057,323.0,328.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0058,328.0,331.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0059,331.0,339.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0060,339.0,344.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0061,344.0,351.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0062,351.0,355.0,train
D:\dfdata\raw\mucs2021\train\rSn8GnGA2xpKk7qD.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0063,355.0,359.0,train
