filepath,label,language,speaker,source,tool,condition,utt_id,split
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0000.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0000,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0001.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0001,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0002.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0002,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0003.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0003,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0004.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0004,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0005.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0005,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0006.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0006,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0007.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0007,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0008.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0008,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0009.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0009,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0010.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0010,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0011.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0011,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0012.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0012,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0013.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0013,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0014.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0014,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0015.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0015,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0016.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0016,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0017.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0017,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0018.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0018,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0019.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0019,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0020.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0020,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0021.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0021,train
${DATA_ROOT}/clips/126393_rSn8GnGA2xpKk7qD_0022.wav,bonafide,hi-en,126393,mucs2021,none,clean,126393_rSn8GnGA2xpKk7qD_0022,train
