filepath,label,language,speaker,source,tool,condition,split,utt_id
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0000.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0000
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0000.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0000
${DATA_ROOT}/clips/797767_TRInoJRJxAX3qv5C_0000.wav,bonafide,hi-en,797767,mucs2021,none,clean,eval,797767_TRInoJRJxAX3qv5C_0000
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0000.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0000
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0000.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0000
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0000.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0000
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0001.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0001
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0000.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0000
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0001.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0001
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0000.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0000
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0000.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0000
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0000.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0000
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0001.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0001
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0002.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0002
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0000.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0000
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0000.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0000
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0001.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0001
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0000.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0000
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0000.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0000
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0001.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0001
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0000.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0000
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0001.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0001
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0001.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0001
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0001.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0001
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0002.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0002
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0002.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0002
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0000.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0000
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0001.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0001
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0001.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0001
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0001.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0001
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0002.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0002
