job_id,target_speaker,source_speaker,pool,source_utt_id,source_wav,start_seconds,end_seconds,duration_seconds,transcript,language,tool,output_path,seed
1,445718,106718,train,106718_vE1rhq3ojNKZvQNv_0000,${DATA_ROOT}/raw/mucs2021/train/vE1rhq3ojNKZvQNv.wav,2.0,8.0,6.0,लिबर ऑफिस draw में सामान्य drawings कैसे करें इस पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00001.wav,4201
2,445718,142970,train,142970_DP5j8CLDeL6HHHSX_0000,${DATA_ROOT}/raw/mucs2021/train/DP5j8CLDeL6HHHSX.wav,0.0,3.0,3.0,स्ट्रिंग फंक्शंस के ट्यूटोरियल में आपका स्वागत है,hi,rvc,rvc_445718_00002.wav,4202
3,445718,177570,train,177570_jSNK2zDaIvyZsMZp_0000,${DATA_ROOT}/raw/mucs2021/train/jSNK2zDaIvyZsMZp.wav,1.0,8.0,7.0,bash में command line arguments और quoting के spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00003.wav,4203
4,445718,186783,train,186783_LFpbaXkb8HuQ6DnF_0000,${DATA_ROOT}/raw/mucs2021/train/LFpbaXkb8HuQ6DnF.wav,0.0,3.0,3.0,नमस्कार दोस्तों,hi,rvc,rvc_445718_00004.wav,4204
5,445718,205240,train,205240_F4KjmwYhWvnpSE0m_0000,${DATA_ROOT}/raw/mucs2021/train/F4KjmwYhWvnpSE0m.wav,3.0,11.0,8.0,यह change password ट्यूटोरियल का तीसरा भाग है इस भाग में हम डेटाबेस में पासवर्ड बदलने जा रहे हैं,hi,rvc,rvc_445718_00005.wav,4205
6,445718,322882,train,322882_XTscbPr78nzuHhuu_0000,${DATA_ROOT}/raw/mucs2021/train/XTscbPr78nzuHhuu.wav,0.0,6.0,6.0,लिबर ऑफिस writer में documents को प्रिंट तथा देखने के इस spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00006.wav,4206
7,445718,413057,train,413057_aKSsdMqkPfUWyYeS_0000,${DATA_ROOT}/raw/mucs2021/train/aKSsdMqkPfUWyYeS.wav,0.0,6.0,6.0,लिबर ऑफिस calc में linking पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00007.wav,4207
8,445718,457295,train,457295_WgzliDtK6Htff0g2_0000,${DATA_ROOT}/raw/mucs2021/train/WgzliDtK6Htff0g2.wav,1.0,8.0,7.0,लिबर ऑफिस draw में common editing और printing functions common editing and printing functions पर इस spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00008.wav,4208
9,445718,539226,train,539226_vZGSoJPH1tbvsyCa_0000,${DATA_ROOT}/raw/mucs2021/train/vZGSoJPH1tbvsyCa.wav,0.0,11.0,11.0,यूज़र रजिस्ट्रेशन ट्यूटोरियल के पाँचवे भाग में आपका स्वागत है हम अपनी रजिस्ट्रेशन लॉगिन प्रक्रिया में कुछ अंशों और टुकड़ों को व्यवस्थित करेंगे,hi,rvc,rvc_445718_00009.wav,4209
10,445718,539354,train,539354_C3MtnFEDrRkWHSvJ_0000,${DATA_ROOT}/raw/mucs2021/train/C3MtnFEDrRkWHSvJ.wav,1.0,7.0,6.0,how to create a library in koha पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00010.wav,4210
11,445718,541304,train,541304_cyhxRWI0LoKYZvcw_0000,${DATA_ROOT}/raw/mucs2021/train/cyhxRWI0LoKYZvcw.wav,0.0,3.0,3.0,लिबर ऑफिस base पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00011.wav,4211
12,445718,584991,train,584991_1ijxO93RTIJh2Rzv_0000,${DATA_ROOT}/raw/mucs2021/train/1ijxO93RTIJh2Rzv.wav,0.0,8.0,8.0,लिबर ऑफिस impress पर इस spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00012.wav,4212
13,445718,634568,train,634568_jCgweujQVV5haVF1_0000,${DATA_ROOT}/raw/mucs2021/train/jCgweujQVV5haVF1.wav,0.0,6.0,6.0,लिबर ऑफिस impress में presentation notes पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00013.wav,4213
