job_id,cell,speaker,pool,reference_wav,transcript,transcript_source,script_class,language,tool,output_path,seed
1,scale_hi,106718,train,refs/106718.wav,libar ophis draw men saamaany drawings kaise karen is par spoken tutorial men aapkaa svaagat hai,लिबर ऑफिस draw में सामान्य drawings कैसे करें इस पर spoken tutorial में आपका स्वागत है,mixed,hi,xtts_v2,outputs/xtts_v2_106718_00001.wav,4001
2,scale_hi,142970,train,refs/142970.wav,is tutorial men aap seekhenge ki nimn kaa upyog karke saadhaaran drawings kaise karen,इस tutorial में आप सीखेंगे कि निम्न का उपयोग करके साधारण drawings कैसे करें,mixed,hi,xtts_v2,outputs/xtts_v2_142970_00002.wav,4002
3,scale_hi,177570,train,refs/177570.wav,buniyaadee aakaar jaiselines arrows aur aayat,बुनियादी आकार जैसेlines arrows और आयत,mixed,hi,xtts_v2,outputs/xtts_v2_177570_00003.wav,4003
4,scale_hi,186783,train,refs/186783.wav,buniyaadee geometric aakaar symbols stars aur banners,बुनियादी geometric आकार symbols stars और banners,mixed,hi,xtts_v2,outputs/xtts_v2_186783_00004.wav,4004
5,scale_hi,205240,train,refs/205240.wav,aap yah bhee seekhenge ki ek object ko kaise chunen sthaanaantarit karen aur dileet karen,आप यह भी सीखेंगे कि एक object को कैसे चुनें स्थानांतरित करें और डिलीट करें,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_205240_00005.wav,4005
6,scale_hi,322882,train,refs/322882.wav,haashiyaa margins set karne ke lie ruler aur objects kee sthaan set karne ke lie align toolbar kaa upyog karen,हाशिया margins set करने के लिए ruler और objects की स्थान set करने के लिए align toolbar का उपयोग करें,mixed,hi,xtts_v2,outputs/xtts_v2_322882_00006.wav,4006
7,scale_hi,413057,train,refs/413057.wav,object se taatpary hai draw men upyogit aakaar yaa aakaar kaa samooh jaise lines squares arrows flowcharts aadi,object से तात्पर्य है draw में उपयोगित आकार या आकार का समूह जैसे lines squares arrows flowcharts आदि,mixed,hi,xtts_v2,outputs/xtts_v2_413057_00007.wav,4007
8,scale_hi,445718,train,refs/445718.wav,is slide men darshaaye gaye sabhee aakaar objects ke roop men ullikhit hain,इस slide में दर्शाये गये सभी आकार objects के रूप में उल्लिखित हैं,mixed,hi,xtts_v2,outputs/xtts_v2_445718_00008.wav,4008
9,scale_hi,457295,train,refs/457295.wav,file watercycle ko kholen jo desktop men sev kee gaee thee,file watercycle को खोलें जो desktop में सेव की गई थी,mixed,hi,xtts_v2,outputs/xtts_v2_457295_00009.wav,4009
10,scale_hi,539226,train,refs/539226.wav,ham pahle seekhenge ki ek object kaise chunen,हम पहले सीखेंगे कि एक object कैसे चुनें,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_539226_00010.wav,4010
11,scale_hi,539354,train,refs/539354.wav,maanie ki ham cloud chunnaa chaahte hain to ham saamaanyatah is par click karenge,मानिए कि हम cloud चुनना चाहते हैं तो हम सामान्यतः इस पर click करेंगे,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_539354_00011.wav,4011
12,scale_hi,541304,train,refs/541304.wav,aisaa karne par on handles dikhaaee dete hain,ऐसा करने पर on handles दिखाई देते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_541304_00012.wav,4012
13,scale_hi,584991,train,refs/584991.wav,handles chhote neele yaa hare squares hote hain jo chunit object ke bhaagon par dikhaaee dete hain,handles छोटे नीले या हरे squares होते हैं जो चुनित object के भागों पर दिखाई देते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_584991_00013.wav,4013
14,scale_hi,634568,train,refs/634568.wav,aap baad ke tutorials men handles aur unke upyog ke baare men adhik seekhenge,आप बाद के tutorials में handles और उनके उपयोग के बारे में अधिक सीखेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_634568_00014.wav,4014
15,scale_hi,705494,train,refs/705494.wav,add apnee drawing men kuchh adhik objects joren,add अपनी drawing में कुछ अधिक objects जोड़ें,mixed,hi,xtts_v2,outputs/xtts_v2_705494_00015.wav,4015
16,scale_hi,797767,train,refs/797767.wav,jameen ko prastut karne ke lie ek aayat joren,जमीन को प्रस्तुत करने के लिए एक आयत जोड़ें,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_797767_00016.wav,4016
17,scale_hi,850754,train,refs/850754.wav,drawing toolbar men basic shapes par kkik karen aur phir rectangle par click karen,drawing toolbar में basic shapes पर क्किक करें और फिर rectangle पर click करें,mixed,hi,xtts_v2,outputs/xtts_v2_850754_00017.wav,4017
18,scale_hi,870582,train,refs/870582.wav,ab cursor ko pej par sthaanaantarit karen aap capital i ke saath plus kaa chinh dekhenge,अब cursor को पेज पर स्थानांतरित करें आप capital i के साथ plus का चिन्ह देखेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_870582_00018.wav,4018
19,scale_hi,876898,train,refs/876898.wav,baayen mouse button ko pakarkar rakhen aur aayat banaane ke lie drag karen,बायें mouse button को पकड़कर रखें और आयत बनाने के लिए drag करें,mixed,hi,xtts_v2,outputs/xtts_v2_876898_00019.wav,4019
20,scale_hi,893273,train,refs/893273.wav,ab jameen se baadal tak jalvaashp kee gatividhi ko dikhaane ke lie kuchh arrows banaaen,अब जमीन से बादल तक जलवाष्प की गतिविधि को दिखाने के लिए कुछ arrows बनाएँ,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_893273_00020.wav,4020
21,scale_hi,903756,train,refs/903756.wav,line banaane ke lie drawing toolbar men line par click karen,line बनाने के लिए drawing toolbar में line पर click करें,mixed,hi,xtts_v2,outputs/xtts_v2_903756_00021.wav,4021
22,scale_hi,912184,train,refs/912184.wav,aap tirchhe dash ke saath ek plus kaa chinh dekhenge,आप तिरछे dash के साथ एक plus का चिन्ह देखेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_912184_00022.wav,4022
23,scale_hi,975912,train,refs/975912.wav,mouse ke baayen button ko pakarkar rakhen aur oopar se tal tak drag karen,mouse के बायें button को पकड़कर रखें और ऊपर से तल तक drag करें,mixed,hi,xtts_v2,outputs/xtts_v2_975912_00023.wav,4023
24,scale_hi,987461,train,refs/987461.wav,context menu ko dekhne ke lie right click karen aur line par click karen,context menu को देखने के लिए right click करें और line पर click करें,mixed,hi,xtts_v2,outputs/xtts_v2_987461_00024.wav,4024
25,scale_hi,996368,train,refs/996368.wav,aap line dialog box dekhenge tab arrow styles taib par click karen aur phir arrow style dropdown par click karen,आप line dialog box देखेंगे tab arrow styles टैब पर click करें और फिर arrow style dropdown पर click करें,mixed,hi,xtts_v2,outputs/xtts_v2_996368_00025.wav,4025
26,scale_hi,106718,train,refs/106718.wav,yah uplabdh arrow styles pradarshit kartaa hai,यह उपलब्ध arrow styles प्रदर्शित करता है,mixed,hi,xtts_v2,outputs/xtts_v2_106718_00026.wav,4026
27,scale_hi,142970,train,refs/142970.wav,yah line ke donon ant bhaagon par thissheersh kee chunit staail ko joregaa,यह line के दोनों अंत भागों पर thisशीर्ष की चुनित स्टाइल को जोड़ेगा,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_142970_00027.wav,4027
28,scale_hi,177570,train,refs/177570.wav,lekin hamen teersheersh keval line ke ek ant bhaag par hee chaahie,लेकिन हमें तीरशीर्ष केवल line के एक अंत भाग पर ही चाहिए,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_177570_00028.wav,4028
29,scale_hi,186783,train,refs/186783.wav,to pahle ham ctrl + z dabaakar is badlaav ko undo karenge,तो पहले हम ctrl + z दबाकर इस बदलाव को undo करेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_186783_00029.wav,4029
30,scale_hi,205240,train,refs/205240.wav,context menu ko dekhne ke lie phir se rightclick karen,context menu को देखने के लिए फिर से rightclick करें,mixed,hi,xtts_v2,outputs/xtts_v2_205240_00030.wav,4030
