speaker,pool,source
126393,adaptation,mucs2021
201350,adaptation,mucs2021
342352,adaptation,mucs2021
350956,adaptation,mucs2021
433148,adaptation,mucs2021
491095,adaptation,mucs2021
702146,adaptation,mucs2021
707034,adaptation,mucs2021
804882,adaptation,mucs2021
901681,adaptation,mucs2021
111627,eval,mucs2021
121073,eval,mucs2021
136325,eval,mucs2021
146859,eval,mucs2021
165325,eval,mucs2021
175522,eval,mucs2021
232748,eval,mucs2021
238121,eval,mucs2021
386410,eval,mucs2021
541916,eval,mucs2021
577537,eval,mucs2021
581145,eval,mucs2021
596505,eval,mucs2021
945728,eval,mucs2021
976811,eval,mucs2021
106718,train,mucs2021
142970,train,mucs2021
177570,train,mucs2021
186783,train,mucs2021
205240,train,mucs2021
322882,train,mucs2021
413057,train,mucs2021
445718,train,mucs2021
457295,train,mucs2021
539226,train,mucs2021
539354,train,mucs2021
541304,train,mucs2021
584991,train,mucs2021
634568,train,mucs2021
705494,train,mucs2021
797767,train,mucs2021
850754,train,mucs2021
870582,train,mucs2021
876898,train,mucs2021
893273,train,mucs2021
903756,train,mucs2021
912184,train,mucs2021
975912,train,mucs2021
987461,train,mucs2021
996368,train,mucs2021
