speaker,source,n_clips,total_seconds,median_snr_db,eligible
539226,mucs2021,40,336.27,92.38815514699866,True
577537,mucs2021,72,618.71,91.67467376454184,True
987461,mucs2021,57,514.46,91.57556831623101,True
893273,mucs2021,58,299.98,90.61162713930797,True
165325,mucs2021,72,549.53,89.7760536808527,True
539354,mucs2021,91,563.75,88.47531448368386,True
205240,mucs2021,40,299.53,87.42018076190985,True
322882,mucs2021,96,632.0,87.21482589588514,True
996368,mucs2021,86,633.02,87.01168320720448,True
870582,mucs2021,73,480.64,86.4840229876206,True
142970,mucs2021,83,501.84,86.29525834403667,True
201350,mucs2021,89,668.25,85.64888485073517,True
901681,mucs2021,75,539.71,85.31685998703105,True
136325,mucs2021,98,605.48,84.70004188401148,True
797767,mucs2021,71,451.97,84.5950978638656,True
850754,mucs2021,91,747.28,84.43794885748942,True
146859,mucs2021,136,786.09,84.37903403719865,True
584991,mucs2021,112,626.0,83.9909418102874,True
975912,mucs2021,55,377.53,83.75661735359263,True
702146,mucs2021,100,555.5,83.60140268910732,True
634568,mucs2021,82,459.49,83.54078968579651,True
106718,mucs2021,126,604.04,83.53451316808986,True
804882,mucs2021,111,973.11,83.41594446038508,True
541916,mucs2021,102,513.04,83.35980021921233,True
457295,mucs2021,139,701.03,83.2557510980713,True
177570,mucs2021,119,603.0,83.05438098803937,True
445718,mucs2021,118,753.47,83.04432716918454,True
596505,mucs2021,152,715.5,82.93766460905984,True
491095,mucs2021,129,823.08,82.8344782810816,True
705494,mucs2021,76,451.0,82.79950223533734,True
342352,mucs2021,62,510.5,82.73055918595418,True
175522,mucs2021,100,589.03,82.65767752998377,True
386410,mucs2021,76,617.66,82.43416668151914,True
945728,mucs2021,124,755.96,82.29875395122784,True
121073,mucs2021,78,554.73,82.20974535640721,True
413057,mucs2021,71,453.07,82.1485727749769,True
581145,mucs2021,78,634.08,82.14348460359716,True
541304,mucs2021,81,608.66,82.07497525943295,True
350956,mucs2021,143,827.08,81.9835211302787,True
976811,mucs2021,97,716.09,81.97605416994172,True
238121,mucs2021,90,744.04,81.97251755688639,True
433148,mucs2021,70,538.03,81.93852323757804,True
707034,mucs2021,157,912.0,81.8789039465312,True
126393,mucs2021,89,528.5,81.84546957082634,True
186783,mucs2021,66,560.23,81.71293070602654,True
903756,mucs2021,91,713.42,81.69068038512175,True
912184,mucs2021,72,528.53,81.60904425329197,True
876898,mucs2021,94,570.03,81.5646980715447,True
111627,mucs2021,118,753.47,81.48407443380762,True
232748,mucs2021,85,538.48,81.45843176921035,True
867552,mucs2021,86,559.05,81.25279523728284,True
810911,mucs2021,72,568.29,81.24764366520175,True
749275,mucs2021,80,598.1,81.025384450411,True
485176,mucs2021,151,925.09,80.96654798011552,True
250146,mucs2021,95,737.68,80.83301700957128,True
344267,mucs2021,54,278.01,80.6577012083967,True
270891,mucs2021,70,425.22,80.65329086295762,True
187699,mucs2021,68,426.0,80.60247142187137,True
178303,mucs2021,108,582.02,80.43302440892784,True
795525,mucs2021,112,642.09,80.38240184448159,True
317825,mucs2021,101,702.43,80.36200573654484,True
464941,mucs2021,154,785.1,80.17626084199333,True
705118,mucs2021,62,604.04,80.00377704022303,True
400341,mucs2021,68,556.5,79.83545386287895,True
544832,mucs2021,83,404.0,79.822394162466,True
109686,mucs2021,73,473.73,79.70810327031327,True
292250,mucs2021,171,865.49,79.69605350837118,True
518517,mucs2021,147,883.07,79.66885692729393,True
603863,mucs2021,89,450.0,79.65764965182036,True
913054,mucs2021,140,679.0,79.61893120192491,True
283968,mucs2021,119,720.54,79.58319464635743,True
277289,mucs2021,85,525.41,79.49873224086748,True
888061,mucs2021,109,721.01,79.35238265802582,True
522401,mucs2021,67,349.0,79.2208158728104,True
804422,mucs2021,96,643.08,79.04286634115009,True
564420,mucs2021,116,1155.44,79.02259316974984,True
541637,mucs2021,60,386.5,79.0119317376166,True
837650,mucs2021,105,670.09,78.88886800429617,True
521943,mucs2021,130,715.04,78.88868644202104,True
775565,mucs2021,46,344.04,78.81606817212892,True
729654,mucs2021,114,755.08,78.77375400808188,True
338894,mucs2021,92,895.5,78.75296700002323,True
921731,mucs2021,66,909.0,78.73369235552178,True
142176,mucs2021,112,1295.0,78.58916729581264,True
391623,mucs2021,55,370.05,78.55776896687449,True
171660,mucs2021,73,513.5,78.45666790952536,True
909194,mucs2021,91,428.0,78.34904337082793,True
297660,mucs2021,83,528.94,78.27154426852015,True
802880,mucs2021,99,454.67,78.26194986951162,True
801080,mucs2021,143,1340.03,78.23370505225219,True
106319,mucs2021,86,462.05,78.22044451082056,True
592721,mucs2021,94,634.06,78.19231891987185,True
734095,mucs2021,135,698.07,78.08215982202891,True
847119,mucs2021,116,857.07,78.05755847206612,True
765519,mucs2021,127,805.99,78.03260252640756,True
801048,mucs2021,106,676.05,77.97900972487231,True
736704,mucs2021,95,912.0,77.8389288625053,True
394895,mucs2021,119,589.04,77.7993582724722,True
648590,mucs2021,110,634.03,77.65431905535799,True
707255,mucs2021,108,634.06,77.56419515435961,True
185567,mucs2021,115,663.06,77.56293184334754,True
665639,mucs2021,123,647.0,77.54975723784433,True
512483,mucs2021,83,639.06,77.53821110715728,True
693176,mucs2021,125,590.0,77.51245481266339,True
947382,mucs2021,66,498.54,77.4869180472402,True
958028,mucs2021,122,761.07,77.45634212632761,True
932249,mucs2021,146,1632.0,77.45568728465918,True
571887,mucs2021,103,1012.0,77.440589343576,True
415237,mucs2021,84,545.05,77.39160148035964,True
223996,mucs2021,115,770.05,77.3554658234421,True
524881,mucs2021,146,920.16,77.34596695490123,True
193949,mucs2021,116,720.08,77.25220302969683,True
924751,mucs2021,87,366.0,77.06554025962171,True
811724,mucs2021,94,576.07,76.86434524539877,True
503577,mucs2021,89,539.5,76.85599846758569,True
367739,mucs2021,177,876.0,76.85200825759198,True
818249,mucs2021,100,627.0,76.84781300012581,True
166794,mucs2021,71,548.36,76.84741784791618,True
758447,mucs2021,70,610.02,76.79638442900881,True
100356,mucs2021,107,501.08,76.64130842970022,True
467403,mucs2021,87,491.5,76.58103000386383,True
736630,mucs2021,127,602.5,76.47493654080081,True
166257,mucs2021,99,800.08,76.4450085474102,True
663512,mucs2021,103,699.0,76.41290889367114,True
242003,mucs2021,127,822.0,76.30354512683385,True
286444,mucs2021,95,450.03,76.29482555290122,True
655800,mucs2021,97,460.04,76.17903593159116,True
210672,mucs2021,130,574.07,76.10487350296692,True
216105,mucs2021,134,599.05,76.09390047801168,True
890036,mucs2021,96,464.78,76.07560554631121,True
100051,mucs2021,123,655.08,76.05545857597156,True
216485,mucs2021,85,784.0,76.02010882514486,True
802769,mucs2021,104,699.05,76.01736374584182,True
256282,mucs2021,119,803.09,75.97431332554353,True
165823,mucs2021,86,528.03,75.9729580490111,True
810740,mucs2021,91,1111.95,75.91824293792368,True
150352,mucs2021,82,786.11,75.91167201973497,True
515896,mucs2021,56,591.05,75.8147495270558,True
349774,mucs2021,164,1011.06,75.68602685328183,True
117174,mucs2021,85,516.64,75.66866852859062,True
775679,mucs2021,94,453.0,75.55124206774973,True
590918,mucs2021,132,784.0,75.38110180465058,True
451648,mucs2021,112,592.04,75.29985259691915,True
