speaker,source,n_clips,total_seconds,median_snr_db
539226,mucs2021,40,336.27,92.38815514699866
577537,mucs2021,72,618.71,91.67467376454184
987461,mucs2021,57,514.46,91.575568316231
893273,mucs2021,58,299.98,90.61162713930796
165325,mucs2021,72,549.53,89.7760536808527
539354,mucs2021,91,563.75,88.47531448368386
205240,mucs2021,40,299.53,87.42018076190985
322882,mucs2021,96,632.0,87.21482589588514
996368,mucs2021,86,633.02,87.01168320720448
870582,mucs2021,73,480.64,86.4840229876206
142970,mucs2021,83,501.84,86.29525834403667
201350,mucs2021,89,668.25,85.64888485073517
901681,mucs2021,75,539.71,85.31685998703105
136325,mucs2021,98,605.48,84.70004188401148
797767,mucs2021,71,451.97,84.5950978638656
850754,mucs2021,91,747.28,84.43794885748942
146859,mucs2021,136,786.09,84.37903403719865
584991,mucs2021,112,626.0,83.9909418102874
975912,mucs2021,55,377.53,83.75661735359263
702146,mucs2021,100,555.5,83.60140268910732
634568,mucs2021,82,459.49,83.54078968579651
106718,mucs2021,126,604.04,83.53451316808986
804882,mucs2021,111,973.11,83.41594446038508
541916,mucs2021,102,513.04,83.35980021921233
457295,mucs2021,139,701.03,83.2557510980713
177570,mucs2021,119,603.0,83.05438098803937
445718,mucs2021,118,753.47,83.04432716918454
596505,mucs2021,152,715.5,82.93766460905984
491095,mucs2021,129,823.08,82.8344782810816
705494,mucs2021,76,451.0,82.79950223533734
342352,mucs2021,62,510.5,82.73055918595418
175522,mucs2021,100,589.03,82.65767752998377
386410,mucs2021,76,617.66,82.43416668151914
945728,mucs2021,124,755.96,82.29875395122784
121073,mucs2021,78,554.73,82.20974535640721
413057,mucs2021,71,453.07,82.1485727749769
581145,mucs2021,78,634.08,82.14348460359716
541304,mucs2021,81,608.66,82.07497525943295
350956,mucs2021,143,827.08,81.9835211302787
976811,mucs2021,97,716.09,81.97605416994172
238121,mucs2021,90,744.04,81.97251755688639
433148,mucs2021,70,538.03,81.93852323757804
707034,mucs2021,157,912.0,81.8789039465312
126393,mucs2021,89,528.5,81.84546957082634
186783,mucs2021,66,560.23,81.71293070602654
903756,mucs2021,91,713.42,81.69068038512175
912184,mucs2021,72,528.53,81.60904425329197
876898,mucs2021,94,570.03,81.5646980715447
111627,mucs2021,118,753.47,81.48407443380762
232748,mucs2021,85,538.48,81.45843176921035
