pair_id,bandwidth_clean_hz,bandwidth_channel_hz,hf_energy_clean,hf_energy_channel,measured_snr_db,correlation,clipping_ratio,duration_ratio,lag_samples,band_limited,intact
1,2881.5,2707.8,0.00575,0.0,18.01,0.9922,0.0,1.0,0,True,True
2,1016.3,1394.4,0.000232,0.0,20.01,0.9951,0.0,1.0,0,True,True
3,5428.5,2236.5,0.016742,0.0,15.6,0.9865,0.0,1.0,0,True,True
4,1378.1,1759.9,0.000605,0.0,19.85,0.9949,0.0,1.0,0,True,True
5,2717.9,2074.8,0.007187,0.0,17.56,0.9913,0.0,1.0,0,True,True
6,1045.3,1493.5,0.004711,0.0,18.32,0.9927,0.0,1.0,0,True,True
7,734.0,999.2,0.000192,0.0,20.07,0.9951,0.0,1.0,0,True,True
8,4243.8,2359.2,0.011335,0.0,16.59,0.9892,0.0,1.0,0,True,True
9,1191.3,1342.0,0.000372,0.0,19.99,0.995,0.0,1.0,0,True,True
10,5297.4,2367.5,0.014596,0.0,15.99,0.9876,0.0,1.0,0,True,True
11,2903.2,2936.5,0.000478,0.0,19.88,0.9949,0.0,1.0,0,True,True
12,3452.5,3232.5,0.008175,0.0,17.33,0.9909,0.0,1.0,0,True,True
13,3938.5,2983.5,0.007787,0.0,16.3,0.9885,0.0,1.0,0,True,True
14,3892.7,3361.7,0.007569,1e-06,16.55,0.9891,1e-05,1.0,0,True,True
15,3002.2,3026.4,9.9e-05,0.0,19.91,0.9949,0.0,1.0,0,True,True
16,3722.5,3267.0,0.009534,0.0,17.05,0.9903,0.0,1.0,0,True,True
17,3605.2,2966.8,0.004641,0.0,17.67,0.9916,0.0,1.0,0,True,True
18,2800.0,2823.4,0.001028,0.0,19.69,0.9947,0.0,1.0,0,True,True
19,3564.3,3027.3,0.008551,0.0,17.23,0.9907,0.0,1.0,0,True,True
20,3880.1,3022.8,0.006151,0.0,16.79,0.9897,0.0,1.0,0,True,True
