pair_id,bandwidth_clean_hz,bandwidth_channel_hz,hf_energy_clean,hf_energy_channel,measured_snr_db,correlation,clipping_ratio,duration_ratio,lag_samples,band_limited,intact
1,2881.5,2609.7,0.00575,0.0,6.58,0.9055,0.0,1.0014,78,True,True
2,1016.3,1017.4,0.000232,0.0,3.47,0.8306,0.0,1.0223,76,True,True
3,5428.5,1590.0,0.016742,0.0,8.08,0.9302,0.0,1.0039,78,True,True
4,1378.1,1301.0,0.000605,0.0,7.61,0.9232,0.0,1.0054,77,True,True
5,2717.9,1488.7,0.007187,0.0,4.86,0.8682,0.0,1.0037,78,True,True
6,1045.3,966.6,0.004711,0.0,4.81,0.867,0.0,1.005,78,True,True
7,734.0,870.0,0.000192,0.0,1.31,0.7582,0.0,1.0074,77,True,True
8,4243.8,2173.6,0.011335,0.0,3.69,0.8371,0.0,1.0038,79,True,True
9,1191.3,1231.2,0.000372,0.0,4.59,0.8615,0.0,1.0099,78,True,True
10,5297.4,1872.2,0.014596,0.0,5.75,0.8888,0.0,1.0044,79,True,True
11,2903.2,2753.0,0.000478,0.0,5.5,0.8832,1.6e-05,1.005,79,True,True
12,3452.5,3172.8,0.008175,0.0,5.28,0.8783,0.0,1.01,80,True,True
13,3938.5,2610.9,0.007787,0.0,6.18,0.8978,0.0,1.01,79,True,True
14,3892.7,2725.1,0.007569,0.0,0.95,0.7447,1e-05,1.0033,79,True,True
15,3002.2,2792.2,9.9e-05,0.0,6.38,0.9017,0.0,1.004,80,True,True
16,3722.5,3209.4,0.009534,0.0,-3.12,0.5724,0.0,1.01,79,True,True
17,3605.2,2838.4,0.004641,0.0,6.91,0.9114,0.0,1.004,79,True,True
18,2800.0,2763.2,0.001028,0.0,6.73,0.9082,0.0,1.0025,80,True,True
19,3564.3,2857.0,0.008551,0.0,5.64,0.8864,0.0,1.0067,80,True,True
20,3880.1,2876.3,0.006151,0.0,6.48,0.9036,0.0,1.0018,80,True,True
