blind_id,audio_path,speaker,language,read_along,rater,sounds_human_1_5,said_the_right_words_1_5,code_switch_natural_1_5,notes
01,C:\dfdata\generated\pilot_ab\clips/clip_01.wav,850754,hi,alias usee kantent ke lie ek vaikalpik url path hai ham usee kantent ko pradarshit karne ke lie yaa to mool yaa kaee aliases men se ek chun sakte hain,L,,,,
01,C:\dfdata\generated\pilot_ab\clips/clip_01.wav,850754,hi,alias usee kantent ke lie ek vaikalpik url path hai ham usee kantent ko pradarshit karne ke lie yaa to mool yaa kaee aliases men se ek chun sakte hain,M,,,,
01,C:\dfdata\generated\pilot_ab\clips/clip_01.wav,850754,hi,alias usee kantent ke lie ek vaikalpik url path hai ham usee kantent ko pradarshit karne ke lie yaa to mool yaa kaee aliases men se ek chun sakte hain,SK,,,,
02,C:\dfdata\generated\pilot_ab\clips/clip_02.wav,850754,hi,aglaa sip media type hai sip media type keval tabhee laagoo hotaa hai jab aapkee laaibreree men sortar yaa lokar suvidhaa kaa upyog kiyaa jaa rahaa ho,L,,,,
02,C:\dfdata\generated\pilot_ab\clips/clip_02.wav,850754,hi,aglaa sip media type hai sip media type keval tabhee laagoo hotaa hai jab aapkee laaibreree men sortar yaa lokar suvidhaa kaa upyog kiyaa jaa rahaa ho,M,,,,
02,C:\dfdata\generated\pilot_ab\clips/clip_02.wav,850754,hi,aglaa sip media type hai sip media type keval tabhee laagoo hotaa hai jab aapkee laaibreree men sortar yaa lokar suvidhaa kaa upyog kiyaa jaa rahaa ho,SK,,,,
03,C:\dfdata\generated\pilot_ab\clips/clip_03.wav,987461,hi,sed space n space single quotes men front slash square bracket kholen cc square bracket band karen omputers/p single quotes ke baad space seddemo txt,L,,,,
03,C:\dfdata\generated\pilot_ab\clips/clip_03.wav,987461,hi,sed space n space single quotes men front slash square bracket kholen cc square bracket band karen omputers/p single quotes ke baad space seddemo txt,M,,,,
03,C:\dfdata\generated\pilot_ab\clips/clip_03.wav,987461,hi,sed space n space single quotes men front slash square bracket kholen cc square bracket band karen omputers/p single quotes ke baad space seddemo txt,SK,,,,
04,C:\dfdata\generated\pilot_ab\clips/clip_04.wav,903756,hi,yah achchhaa lagegaa yadi aap sirph ek image kaa thoraa bhaag copy karte hai aur phir us image men kheenchate hain jahaan aap ise rakhnaa chaahte hain,L,,,,
04,C:\dfdata\generated\pilot_ab\clips/clip_04.wav,903756,hi,yah achchhaa lagegaa yadi aap sirph ek image kaa thoraa bhaag copy karte hai aur phir us image men kheenchate hain jahaan aap ise rakhnaa chaahte hain,M,,,,
04,C:\dfdata\generated\pilot_ab\clips/clip_04.wav,903756,hi,yah achchhaa lagegaa yadi aap sirph ek image kaa thoraa bhaag copy karte hai aur phir us image men kheenchate hain jahaan aap ise rakhnaa chaahte hain,SK,,,,
05,C:\dfdata\generated\pilot_ab\clips/clip_05.wav,987461,hi,aglaa icon aksharon ke beech ko ke sthaan ko vyavasthit karne men madad kartaa hai dobaaraa ap aur down arrows par click karen aur badlaavon ko dekhen,L,,,,
05,C:\dfdata\generated\pilot_ab\clips/clip_05.wav,987461,hi,aglaa icon aksharon ke beech ko ke sthaan ko vyavasthit karne men madad kartaa hai dobaaraa ap aur down arrows par click karen aur badlaavon ko dekhen,M,,,,
