filepath,label,language,speaker,source,tool,condition,split,score
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0000.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9966313242912292
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0001.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9969321489334106
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0002.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9965446591377258
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0003.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9970442652702332
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0004.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9954375624656677
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0005.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9968757629394531
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0006.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9970700740814209
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0007.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9960403442382812
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0008.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9973002076148987
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9967623949050903
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0010.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9952267408370972
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0011.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9970270991325378
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0012.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974677562713623
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0013.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9953989386558533
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0014.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974580407142639
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0015.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9969533681869507
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0016.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9969106316566467
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0017.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9955077171325684
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0018.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.997377872467041
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974036812782288
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0020.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9966764450073242
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0021.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9955496788024902
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0022.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974036812782288
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0023.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9952397346496582
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0024.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9971401691436768
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0025.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9964711666107178
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0026.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.996609091758728
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0027.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9973670840263367
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0028.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9975200295448303
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0029.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9971365928649902
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0030.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9734911322593689
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0031.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9924817681312561
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0032.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9975548386573792
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0033.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9929816722869873
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9834664463996887
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0035.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9955745935440063
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0036.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974331259727478
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0037.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9922227263450623
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0038.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974067807197571
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0039.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9972219467163086
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0040.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9972148537635803
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0041.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9951342940330505
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0042.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9872433543205261
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0043.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9970365762710571
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0044.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9957778453826904
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0045.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9964357614517212
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0046.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9975478053092957
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0047.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9972507357597351
