filepath,label,language,speaker,source,tool,condition,split,score
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2834763.flac,spoof,en,LA_0039,asvspoof2019_la,A11,clean,eval,0.9948936700820923
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8877452.flac,spoof,en,LA_0014,asvspoof2019_la,A14,clean,eval,0.9855735898017883
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6828287.flac,spoof,en,LA_0040,asvspoof2019_la,A16,clean,eval,0.99491286277771
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6977360.flac,spoof,en,LA_0022,asvspoof2019_la,A09,clean,eval,0.9946560859680176
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5932896.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.9823673963546753
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5849185.flac,bonafide,en,LA_0030,asvspoof2019_la,none,clean,eval,0.9854810833930969
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6163791.flac,spoof,en,LA_0001,asvspoof2019_la,A09,clean,eval,0.9937147498130798
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4581379.flac,bonafide,en,LA_0033,asvspoof2019_la,none,clean,eval,0.9956700801849365
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8814547.flac,spoof,en,LA_0002,asvspoof2019_la,A12,clean,eval,0.9947437047958374
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9157999.flac,spoof,en,LA_0048,asvspoof2019_la,A18,clean,eval,0.9930891394615173
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1611480.flac,spoof,en,LA_0005,asvspoof2019_la,A13,clean,eval,0.9773045778274536
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6841754.flac,spoof,en,LA_0018,asvspoof2019_la,A16,clean,eval,0.9943501353263855
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1781840.flac,spoof,en,LA_0023,asvspoof2019_la,A15,clean,eval,0.9933462142944336
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8872199.flac,spoof,en,LA_0002,asvspoof2019_la,A08,clean,eval,0.992520809173584
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1837629.flac,spoof,en,LA_0042,asvspoof2019_la,A17,clean,eval,0.9917280673980713
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6314733.flac,bonafide,en,LA_0039,asvspoof2019_la,none,clean,eval,0.9950166344642639
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8469141.flac,spoof,en,LA_0042,asvspoof2019_la,A08,clean,eval,0.9913656711578369
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3379393.flac,bonafide,en,LA_0037,asvspoof2019_la,none,clean,eval,0.9920909404754639
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7783830.flac,spoof,en,LA_0038,asvspoof2019_la,A16,clean,eval,0.9901712536811829
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8339197.flac,spoof,en,LA_0005,asvspoof2019_la,A10,clean,eval,0.9947705864906311
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9472752.flac,spoof,en,LA_0043,asvspoof2019_la,A13,clean,eval,0.9938062429428101
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1425990.flac,spoof,en,LA_0005,asvspoof2019_la,A17,clean,eval,0.9940783977508545
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9088738.flac,spoof,en,LA_0022,asvspoof2019_la,A18,clean,eval,0.990922749042511
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2520601.flac,spoof,en,LA_0047,asvspoof2019_la,A14,clean,eval,0.9955256581306458
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2355000.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.9951144456863403
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7535126.flac,spoof,en,LA_0005,asvspoof2019_la,A15,clean,eval,0.9885879755020142
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2394352.flac,spoof,en,LA_0018,asvspoof2019_la,A17,clean,eval,0.9910291433334351
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5884357.flac,spoof,en,LA_0002,asvspoof2019_la,A13,clean,eval,0.994234025478363
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8787897.flac,spoof,en,LA_0009,asvspoof2019_la,A16,clean,eval,0.9930683374404907
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3125426.flac,spoof,en,LA_0014,asvspoof2019_la,A17,clean,eval,0.9953882694244385
