filepath,label,language,speaker,source,tool,condition,split,score
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2834763.flac,spoof,en,LA_0039,asvspoof2019_la,A11,clean,eval,0.9993382096290588
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8877452.flac,spoof,en,LA_0014,asvspoof2019_la,A14,clean,eval,0.0007445262162946165
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6828287.flac,spoof,en,LA_0040,asvspoof2019_la,A16,clean,eval,0.2213612049818039
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6977360.flac,spoof,en,LA_0022,asvspoof2019_la,A09,clean,eval,0.001368795521557331
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5932896.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.000655770068988204
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5849185.flac,bonafide,en,LA_0030,asvspoof2019_la,none,clean,eval,0.9996627569198608
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6163791.flac,spoof,en,LA_0001,asvspoof2019_la,A09,clean,eval,0.0012383388821035624
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4581379.flac,bonafide,en,LA_0033,asvspoof2019_la,none,clean,eval,0.9996691942214966
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8814547.flac,spoof,en,LA_0002,asvspoof2019_la,A12,clean,eval,0.9134697318077087
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9157999.flac,spoof,en,LA_0048,asvspoof2019_la,A18,clean,eval,0.6145263314247131
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1611480.flac,spoof,en,LA_0005,asvspoof2019_la,A13,clean,eval,0.0006570825935341418
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6841754.flac,spoof,en,LA_0018,asvspoof2019_la,A16,clean,eval,0.05350043624639511
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1781840.flac,spoof,en,LA_0023,asvspoof2019_la,A15,clean,eval,0.9859915375709534
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8872199.flac,spoof,en,LA_0002,asvspoof2019_la,A08,clean,eval,0.0006994305294938385
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1837629.flac,spoof,en,LA_0042,asvspoof2019_la,A17,clean,eval,0.0006726703722961247
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6314733.flac,bonafide,en,LA_0039,asvspoof2019_la,none,clean,eval,0.9997076392173767
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8469141.flac,spoof,en,LA_0042,asvspoof2019_la,A08,clean,eval,0.0007347507635131478
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3379393.flac,bonafide,en,LA_0037,asvspoof2019_la,none,clean,eval,0.9996057152748108
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7783830.flac,spoof,en,LA_0038,asvspoof2019_la,A16,clean,eval,0.000674897339195013
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8339197.flac,spoof,en,LA_0005,asvspoof2019_la,A10,clean,eval,0.9988173842430115
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9472752.flac,spoof,en,LA_0043,asvspoof2019_la,A13,clean,eval,0.0006694343755953014
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1425990.flac,spoof,en,LA_0005,asvspoof2019_la,A17,clean,eval,0.0007941846270114183
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9088738.flac,spoof,en,LA_0022,asvspoof2019_la,A18,clean,eval,0.06671928614377975
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2520601.flac,spoof,en,LA_0047,asvspoof2019_la,A14,clean,eval,0.9840607047080994
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2355000.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.003329347586259246
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7535126.flac,spoof,en,LA_0005,asvspoof2019_la,A15,clean,eval,0.0008379830978810787
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2394352.flac,spoof,en,LA_0018,asvspoof2019_la,A17,clean,eval,0.0006752975168637931
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5884357.flac,spoof,en,LA_0002,asvspoof2019_la,A13,clean,eval,0.0007810083916410804
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8787897.flac,spoof,en,LA_0009,asvspoof2019_la,A16,clean,eval,0.0013645016588270664
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3125426.flac,spoof,en,LA_0014,asvspoof2019_la,A17,clean,eval,0.0014583929441869259
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6320499.flac,spoof,en,LA_0025,asvspoof2019_la,A13,clean,eval,0.0008172414381988347
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8617121.flac,spoof,en,LA_0030,asvspoof2019_la,A18,clean,eval,0.9997958540916443
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2608310.flac,spoof,en,LA_0035,asvspoof2019_la,A11,clean,eval,0.9996767044067383
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7203940.flac,spoof,en,LA_0015,asvspoof2019_la,A13,clean,eval,0.0006682233070023358
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8868279.flac,spoof,en,LA_0024,asvspoof2019_la,A10,clean,eval,0.9987209439277649
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7462445.flac,spoof,en,LA_0017,asvspoof2019_la,A14,clean,eval,0.23047126829624176
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8844552.flac,spoof,en,LA_0017,asvspoof2019_la,A07,clean,eval,0.0007460357155650854
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9120891.flac,spoof,en,LA_0029,asvspoof2019_la,A10,clean,eval,0.9993139505386353
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2634822.flac,spoof,en,LA_0024,asvspoof2019_la,A17,clean,eval,0.0016831757966428995
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3757378.flac,bonafide,en,LA_0028,asvspoof2019_la,none,clean,eval,0.9996544122695923
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4550461.flac,spoof,en,LA_0044,asvspoof2019_la,A09,clean,eval,0.5798196196556091
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4920751.flac,spoof,en,LA_0024,asvspoof2019_la,A17,clean,eval,0.9998109936714172
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9817776.flac,spoof,en,LA_0029,asvspoof2019_la,A10,clean,eval,0.9997969269752502
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4557471.flac,spoof,en,LA_0011,asvspoof2019_la,A10,clean,eval,0.999576985836029
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1070406.flac,spoof,en,LA_0020,asvspoof2019_la,A16,clean,eval,0.0006757662049494684
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3003752.flac,bonafide,en,LA_0037,asvspoof2019_la,none,clean,eval,0.9996310472488403
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8806575.flac,spoof,en,LA_0026,asvspoof2019_la,A12,clean,eval,0.9717485904693604
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2417530.flac,spoof,en,LA_0044,asvspoof2019_la,A12,clean,eval,0.0013613248011097312
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5323454.flac,bonafide,en,LA_0031,asvspoof2019_la,none,clean,eval,0.9996292591094971
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2947508.flac,spoof,en,LA_0024,asvspoof2019_la,A09,clean,eval,0.15206046402454376
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8469160.flac,spoof,en,LA_0016,asvspoof2019_la,A13,clean,eval,0.0006654513999819756
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1027220.flac,bonafide,en,LA_0057,asvspoof2019_la,none,clean,eval,0.9997990727424622
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9328266.flac,spoof,en,LA_0039,asvspoof2019_la,A17,clean,eval,0.9990925788879395
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3820322.flac,spoof,en,LA_0005,asvspoof2019_la,A07,clean,eval,0.9976488947868347
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4751686.flac,spoof,en,LA_0031,asvspoof2019_la,A16,clean,eval,0.0007999262306839228
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7655544.flac,spoof,en,LA_0012,asvspoof2019_la,A09,clean,eval,0.0006967660156078637
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8925219.flac,spoof,en,LA_0004,asvspoof2019_la,A10,clean,eval,0.9997560381889343
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8110643.flac,spoof,en,LA_0031,asvspoof2019_la,A08,clean,eval,0.0014783496735617518
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2775552.flac,spoof,en,LA_0006,asvspoof2019_la,A14,clean,eval,0.0007208205061033368
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9276097.flac,spoof,en,LA_0037,asvspoof2019_la,A09,clean,eval,0.9439982175827026
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5246322.flac,spoof,en,LA_0039,asvspoof2019_la,A07,clean,eval,0.9924547672271729
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6092883.flac,spoof,en,LA_0021,asvspoof2019_la,A15,clean,eval,0.0006791538326069713
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7355163.flac,spoof,en,LA_0007,asvspoof2019_la,A12,clean,eval,0.852549135684967
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9804952.flac,spoof,en,LA_0033,asvspoof2019_la,A13,clean,eval,0.0015496639534831047
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2985346.flac,spoof,en,LA_0016,asvspoof2019_la,A13,clean,eval,0.0007394056301563978
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8285179.flac,spoof,en,LA_0031,asvspoof2019_la,A14,clean,eval,0.04215027019381523
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5118048.flac,spoof,en,LA_0011,asvspoof2019_la,A19,clean,eval,0.0016959639033302665
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4430413.flac,spoof,en,LA_0037,asvspoof2019_la,A08,clean,eval,0.9973657727241516
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3558965.flac,spoof,en,LA_0006,asvspoof2019_la,A12,clean,eval,0.9982326030731201
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4732931.flac,spoof,en,LA_0006,asvspoof2019_la,A09,clean,eval,0.001136884675361216
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4757272.flac,bonafide,en,LA_0008,asvspoof2019_la,none,clean,eval,0.9995794892311096
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8992946.flac,spoof,en,LA_0001,asvspoof2019_la,A16,clean,eval,0.32891809940338135
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8155315.flac,spoof,en,LA_0010,asvspoof2019_la,A15,clean,eval,0.0017728302627801895
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2143322.flac,spoof,en,LA_0038,asvspoof2019_la,A07,clean,eval,0.7689025402069092
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9382115.flac,spoof,en,LA_0037,asvspoof2019_la,A18,clean,eval,0.0010345736518502235
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4641783.flac,spoof,en,LA_0012,asvspoof2019_la,A18,clean,eval,0.9974912405014038
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5210371.flac,spoof,en,LA_0024,asvspoof2019_la,A11,clean,eval,0.999674916267395
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1746654.flac,spoof,en,LA_0047,asvspoof2019_la,A08,clean,eval,0.0010524190729483962
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7824929.flac,bonafide,en,LA_0033,asvspoof2019_la,none,clean,eval,0.9996992349624634
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8816717.flac,spoof,en,LA_0001,asvspoof2019_la,A11,clean,eval,0.9988095760345459
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3746504.flac,spoof,en,LA_0024,asvspoof2019_la,A19,clean,eval,0.0013430695980787277
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8463157.flac,spoof,en,LA_0030,asvspoof2019_la,A07,clean,eval,0.9962661862373352
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7642353.flac,spoof,en,LA_0025,asvspoof2019_la,A10,clean,eval,0.9992800354957581
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5157926.flac,spoof,en,LA_0005,asvspoof2019_la,A14,clean,eval,0.000685608945786953
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8979583.flac,spoof,en,LA_0024,asvspoof2019_la,A16,clean,eval,0.0006867366610094905
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2665242.flac,spoof,en,LA_0011,asvspoof2019_la,A10,clean,eval,0.9987272620201111
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6154503.flac,bonafide,en,LA_0041,asvspoof2019_la,none,clean,eval,0.9996823072433472
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1395552.flac,bonafide,en,LA_0061,asvspoof2019_la,none,clean,eval,0.9996039271354675
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9500557.flac,spoof,en,LA_0006,asvspoof2019_la,A08,clean,eval,0.9994091987609863
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5194826.flac,spoof,en,LA_0021,asvspoof2019_la,A18,clean,eval,0.9992814660072327
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1424685.flac,spoof,en,LA_0033,asvspoof2019_la,A08,clean,eval,0.9868507981300354
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6624193.flac,spoof,en,LA_0017,asvspoof2019_la,A18,clean,eval,0.9988644123077393
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5871315.flac,bonafide,en,LA_0010,asvspoof2019_la,none,clean,eval,0.9996726512908936
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3378367.flac,spoof,en,LA_0046,asvspoof2019_la,A10,clean,eval,0.9992820620536804
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9853957.flac,spoof,en,LA_0014,asvspoof2019_la,A12,clean,eval,0.9073811173439026
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4988348.flac,spoof,en,LA_0037,asvspoof2019_la,A07,clean,eval,0.9954211115837097
