filepath,label,language,speaker,source,tool,condition,split,score
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2834763.flac,spoof,en,LA_0039,asvspoof2019_la,A11,clean,eval,0.0005113024963065982
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8877452.flac,spoof,en,LA_0014,asvspoof2019_la,A14,clean,eval,0.000499309622682631
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6828287.flac,spoof,en,LA_0040,asvspoof2019_la,A16,clean,eval,0.0005125046009197831
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6977360.flac,spoof,en,LA_0022,asvspoof2019_la,A09,clean,eval,0.0005159609136171639
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5932896.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.0005161854205653071
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5849185.flac,bonafide,en,LA_0030,asvspoof2019_la,none,clean,eval,0.9986672401428223
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6163791.flac,spoof,en,LA_0001,asvspoof2019_la,A09,clean,eval,0.0005138546111993492
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_4581379.flac,bonafide,en,LA_0033,asvspoof2019_la,none,clean,eval,0.998689591884613
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8814547.flac,spoof,en,LA_0002,asvspoof2019_la,A12,clean,eval,0.0005121153080835938
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9157999.flac,spoof,en,LA_0048,asvspoof2019_la,A18,clean,eval,0.0005112657090649009
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1611480.flac,spoof,en,LA_0005,asvspoof2019_la,A13,clean,eval,0.0005179509171284735
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6841754.flac,spoof,en,LA_0018,asvspoof2019_la,A16,clean,eval,0.000492322666104883
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1781840.flac,spoof,en,LA_0023,asvspoof2019_la,A15,clean,eval,0.023938093334436417
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8872199.flac,spoof,en,LA_0002,asvspoof2019_la,A08,clean,eval,0.0005072528147138655
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1837629.flac,spoof,en,LA_0042,asvspoof2019_la,A17,clean,eval,0.0005098675610497594
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6314733.flac,bonafide,en,LA_0039,asvspoof2019_la,none,clean,eval,0.9987249970436096
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8469141.flac,spoof,en,LA_0042,asvspoof2019_la,A08,clean,eval,0.00050161755643785
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3379393.flac,bonafide,en,LA_0037,asvspoof2019_la,none,clean,eval,0.998648464679718
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7783830.flac,spoof,en,LA_0038,asvspoof2019_la,A16,clean,eval,0.0005121621652506292
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8339197.flac,spoof,en,LA_0005,asvspoof2019_la,A10,clean,eval,0.0006049593212082982
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9472752.flac,spoof,en,LA_0043,asvspoof2019_la,A13,clean,eval,0.0005173242534510791
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_1425990.flac,spoof,en,LA_0005,asvspoof2019_la,A17,clean,eval,0.0005133171216584742
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9088738.flac,spoof,en,LA_0022,asvspoof2019_la,A18,clean,eval,0.0004936965415254235
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2520601.flac,spoof,en,LA_0047,asvspoof2019_la,A14,clean,eval,0.0005406165146268904
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2355000.flac,spoof,en,LA_0031,asvspoof2019_la,A13,clean,eval,0.0005157324485480785
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7535126.flac,spoof,en,LA_0005,asvspoof2019_la,A15,clean,eval,0.001639454741962254
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2394352.flac,spoof,en,LA_0018,asvspoof2019_la,A17,clean,eval,0.0005171011434867978
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_5884357.flac,spoof,en,LA_0002,asvspoof2019_la,A13,clean,eval,0.0005193019169382751
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8787897.flac,spoof,en,LA_0009,asvspoof2019_la,A16,clean,eval,0.0004953873576596379
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_3125426.flac,spoof,en,LA_0014,asvspoof2019_la,A17,clean,eval,0.0005152023513801396
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_6320499.flac,spoof,en,LA_0025,asvspoof2019_la,A13,clean,eval,0.0005190173978917301
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8617121.flac,spoof,en,LA_0030,asvspoof2019_la,A18,clean,eval,0.9928349256515503
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2608310.flac,spoof,en,LA_0035,asvspoof2019_la,A11,clean,eval,0.0016037181485444307
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7203940.flac,spoof,en,LA_0015,asvspoof2019_la,A13,clean,eval,0.0005163404275663197
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8868279.flac,spoof,en,LA_0024,asvspoof2019_la,A10,clean,eval,0.9784865379333496
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_7462445.flac,spoof,en,LA_0017,asvspoof2019_la,A14,clean,eval,0.0005303664947859943
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_8844552.flac,spoof,en,LA_0017,asvspoof2019_la,A07,clean,eval,0.0007652995991520584
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_9120891.flac,spoof,en,LA_0029,asvspoof2019_la,A10,clean,eval,0.011372759006917477
/kaggle/input/datasets/saikrishnareddy9/asvspoof-2019-la/ASVspoof2019_LA_eval/flac/LA_E_2634822.flac,spoof,en,LA_0024,asvspoof2019_la,A17,clean,eval,0.0005086961900815368
