filepath,label,tool,window,end_seconds,level_dbfs,score,smoothed
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0004.wav,bonafide,none,0,4.0,-22.97,0.999848484992981,0.999848484992981
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,none,0,4.0,-23.74,0.9953588843345642,0.9953588843345642
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,none,1,6.0,-21.8,0.9881221652030945,0.9917405247688293
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0014.wav,bonafide,none,0,4.0,-22.47,0.999193012714386,0.999193012714386
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0018.wav,bonafide,none,0,4.0,-24.22,0.9998149275779724,0.9998149275779724
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,none,0,4.0,-24.97,0.9987708926200867,0.9987708926200867
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,none,1,6.0,-21.71,0.999711811542511,0.9992413520812988
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,none,2,8.0,-21.52,0.9997796416282654,0.9995104968547821
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,none,3,10.0,-23.75,0.9997708201408386,0.9996406584978104
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,none,4,12.0,-23.08,0.9998854398727417,0.999763049185276
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0031.wav,bonafide,none,0,4.0,-24.21,0.9990302324295044,0.9990302324295044
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,none,0,4.0,-23.2,0.9988313317298889,0.9988313317298889
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,none,1,6.0,-25.49,0.952189564704895,0.975510448217392
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,none,2,8.0,-24.03,0.9997678399085999,0.9876391440629959
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,none,3,10.0,-21.06,0.9993053674697876,0.9934722557663918
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0052.wav,bonafide,none,0,4.0,-25.98,0.9992985725402832,0.9992985725402832
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0053.wav,bonafide,none,0,4.0,-22.97,0.9995381832122803,0.9995381832122803
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0054.wav,bonafide,none,0,4.0,-22.97,0.9998142123222351,0.9998142123222351
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0066.wav,bonafide,none,0,4.0,-24.22,0.9998156428337097,0.9998156428337097
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0082.wav,bonafide,none,0,4.0,-24.22,0.9990793466567993,0.9990793466567993
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0085.wav,bonafide,none,0,4.0,-24.21,0.9950640797615051,0.9950640797615051
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0089.wav,bonafide,none,0,4.0,-20.56,0.997632622718811,0.997632622718811
