filepath,label,language,speaker,source,tool,condition,split,score
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0000.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9993714690208435
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0001.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9994669556617737
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0002.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9975677132606506
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0003.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9989461302757263
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0004.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9990839958190918
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0005.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9943885207176208
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0006.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9979673027992249
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0007.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9868648648262024
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0008.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9989783763885498
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9928223490715027
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0010.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992601275444031
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0011.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9991036057472229
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0012.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9993317723274231
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0013.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9986124038696289
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0014.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9751604199409485
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0015.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9989527463912964
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0016.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9986861348152161
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0017.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9916934370994568
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0018.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9981436729431152
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9984886646270752
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0020.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.998237133026123
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0021.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9995427131652832
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0022.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.996487021446228
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0023.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9943615198135376
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0024.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9938642978668213
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0025.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9823477268218994
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0026.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992961883544922
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0027.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9989051818847656
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0028.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9929341077804565
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0029.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9987894892692566
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0030.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.996878981590271
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0031.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.5381977558135986
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0032.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9983761310577393
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0033.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9988747239112854
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9912627935409546
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0035.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.998853325843811
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0036.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9942114949226379
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0037.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9952762126922607
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0038.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9988151788711548
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0039.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9994871616363525
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0040.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992802739143372
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0041.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.996946394443512
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0042.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9884157180786133
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0043.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.993441104888916
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0044.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9991328120231628
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0045.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9988468885421753
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0046.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9969513416290283
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0047.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9983419179916382
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0048.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992388486862183
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0049.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992690682411194
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0050.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9994900226593018
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0051.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9984537363052368
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0052.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9697968363761902
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0053.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9203505516052246
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0054.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9991322159767151
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0055.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9990547299385071
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0056.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9991911053657532
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0057.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.22512435913085938
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0058.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9906291365623474
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0059.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.999009370803833
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0060.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992727637290955
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0061.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9746716618537903
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0062.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.4883333742618561
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0063.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9974732995033264
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0064.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9987824559211731
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0065.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9967178702354431
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0066.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9992959499359131
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0067.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9986405968666077
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0068.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9985878467559814
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0069.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.174376979470253
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0070.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9933673739433289
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0071.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9990629553794861
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0072.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9994182586669922
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0073.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9991112351417542
${DATA_ROOT}/lora_bundle/clips/111627_bYPRSx2sjXooUdv8_0074.wav,bonafide,hi-en,111627,mucs2021,none,clean,eval,0.9984750151634216
