filepath,label,language,speaker,source,tool,condition,split,utt_id,score
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0000.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0000,0.000726200349163264
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0000.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0000,0.9742887020111084
${DATA_ROOT}/clips/797767_TRInoJRJxAX3qv5C_0000.wav,bonafide,hi-en,797767,mucs2021,none,clean,eval,797767_TRInoJRJxAX3qv5C_0000,0.0007414589053951204
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0000.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0000,0.0012601659400388598
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0000.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0000,0.001944565330632031
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0000.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0000,0.003193765878677368
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0001.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0001,0.0007220535771921277
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0000.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0000,0.05601170286536217
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0001.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0001,0.182230606675148
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0000.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0000,0.040285930037498474
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0000.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0000,0.8745179772377014
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0000.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0000,0.0007029561675153673
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0001.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0001,0.04406090825796127
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0002.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0002,0.0007123105460777879
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0000.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0000,0.014284814707934856
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0000.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0000,0.0007692240760661662
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0001.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0001,0.9916574358940125
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0000.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0000,0.0007056745234876871
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0000.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0000,0.7564271092414856
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0001.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0001,0.0006814752123318613
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0000.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0000,0.0007043311488814652
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0001.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0001,0.0009137216839008033
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0001.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0001,0.0006707872962579131
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0001.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0001,0.10151948779821396
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0002.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0002,0.02911488339304924
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0002.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0002,0.0010267054894939065
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0000.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0000,0.08312797546386719
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0001.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0001,0.07386023551225662
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0001.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0001,0.0007068301201798022
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0001.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0001,0.003973011393100023
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0002.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0002,0.49835100769996643
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0002.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0002,0.0007074609166011214
${DATA_ROOT}/clips/205240_F4KjmwYhWvnpSE0m_0000.wav,bonafide,hi-en,205240,mucs2021,none,clean,eval,205240_F4KjmwYhWvnpSE0m_0000,0.0560590997338295
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0000.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0000,0.0006961241597309709
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0002.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0002,0.1124773621559143
${DATA_ROOT}/clips/870582_crdH0AI5aH25bEXe_0000.wav,bonafide,hi-en,870582,mucs2021,none,clean,eval,870582_crdH0AI5aH25bEXe_0000,0.35993555188179016
${DATA_ROOT}/clips/205240_F4KjmwYhWvnpSE0m_0001.wav,bonafide,hi-en,205240,mucs2021,none,clean,eval,205240_F4KjmwYhWvnpSE0m_0001,0.0007218819228000939
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0001.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0001,0.024882733821868896
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0000.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0000,0.0007253838120959699
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0001.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0001,0.47108161449432373
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0002.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0002,0.0006855998071841896
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0000.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0000,0.0006829896010458469
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0003.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0003,0.0007520409417338669
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0001.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0001,0.09000608325004578
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0003.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0003,0.0009269432630389929
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0002.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0002,0.9982174038887024
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0002.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0002,0.0009239179198630154
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0002.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0002,0.005217769183218479
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0000.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0000,0.0007543172687292099
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0001.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0001,0.07796227931976318
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0002.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0002,0.05218382924795151
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0002.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0002,0.9156067967414856
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0003.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0003,0.0009062349563464522
