filepath,label,language,speaker,source,tool,condition,utt_id,split,score
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0000.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0000,eval,0.9990050196647644
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0001.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0001,eval,0.999290943145752
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0002.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0002,eval,0.9994518160820007
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0003.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0003,eval,0.9992988109588623
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0004.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0004,eval,0.9987581968307495
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0005.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0005,eval,0.9970832467079163
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0006.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0006,eval,0.9988359808921814
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0007.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0007,eval,0.9988853335380554
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0008.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0008,eval,0.9994420409202576
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0009,eval,0.9975728392601013
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0010.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0010,eval,0.9992801547050476
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0011.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0011,eval,0.9994161128997803
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0012.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0012,eval,0.999524712562561
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0013.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0013,eval,0.9992738366127014
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0014.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0014,eval,0.9986286163330078
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0015.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0015,eval,0.9994387030601501
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0016.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0016,eval,0.9994367957115173
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0017.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0017,eval,0.9985124468803406
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0018.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0018,eval,0.9994934797286987
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0019.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0019,eval,0.9987704157829285
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0020.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0020,eval,0.9982185959815979
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0021.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0021,eval,0.9996359348297119
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0022.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0022,eval,0.9993288516998291
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0023.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0023,eval,0.9987599849700928
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0024.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0024,eval,0.9988180994987488
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0025.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0025,eval,0.996595561504364
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0026.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0026,eval,0.9995037317276001
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0027.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0027,eval,0.9993177652359009
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0028.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0028,eval,0.998769223690033
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0029.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0029,eval,0.9990336894989014
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0030.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0030,eval,0.9969907999038696
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0031.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0031,eval,0.9991698265075684
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0032.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0032,eval,0.9954333901405334
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0033.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0033,eval,0.9969596862792969
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0034.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0034,eval,0.9627640843391418
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0035.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0035,eval,0.9986680746078491
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0036.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0036,eval,0.9985719919204712
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0037.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0037,eval,0.9975605010986328
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0038.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0038,eval,0.9990471005439758
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0039.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0039,eval,0.9994805455207825
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0040.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0040,eval,0.9995405673980713
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0041.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0041,eval,0.9924331903457642
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0042.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0042,eval,0.9950259327888489
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0043.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0043,eval,0.9988870024681091
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0044.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0044,eval,0.9951743483543396
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0045.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0045,eval,0.9991393089294434
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0046.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0046,eval,0.9986293315887451
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0047.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0047,eval,0.9995478987693787
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0048.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0048,eval,0.9982960820198059
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0049.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0049,eval,0.9991605281829834
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0050.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0050,eval,0.9993220567703247
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0051.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0051,eval,0.999616265296936
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0052.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0052,eval,0.9986246824264526
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0053.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0053,eval,0.9960945248603821
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0054.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0054,eval,0.9994087219238281
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0055.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0055,eval,0.9993904829025269
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0056.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0056,eval,0.9987322688102722
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0057.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0057,eval,0.9987215399742126
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0058.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0058,eval,0.9992461204528809
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0059.wav,bonafide,hi-en,111627,mucs2021,none,channel_g711_20db,111627_bYPRSx2sjXooUdv8_0059,eval,0.9976047277450562
