filepath,label,language,speaker,source,tool,condition,utt_id,split,score
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0000.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0000,eval,0.0004989584558643401
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0001.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0001,eval,0.1920548528432846
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0002.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0002,eval,0.0004997781361453235
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0003.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0003,eval,0.0005071488558314741
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0004.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0004,eval,0.0006899280124343932
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0005.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0005,eval,0.0005040816613472998
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0006.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0006,eval,0.0005002676625736058
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0007.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0007,eval,0.000501432572491467
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0008.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0008,eval,0.0005291162524372339
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0009.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0009,eval,0.0012186459498479962
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0010.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0010,eval,0.0005021842080168426
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0011.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0011,eval,0.000504390278365463
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0012.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0012,eval,0.0005557762342505157
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0013.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0013,eval,0.0004995568888261914
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0014.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0014,eval,0.0004975901683792472
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0015.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0015,eval,0.000499213463626802
${DATA_ROOT}/clips/111627_bYPRSx2sjXooUdv8_0016.wav,bonafide,hi-en,111627,mucs2021,none,clean,111627_bYPRSx2sjXooUdv8_0016,eval,0.0005061530391685665
